species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude
Larvivora cyane,Hainan,2006,discovery_date,2006,2009,3,110.31,20.04
Larvivora cyane,Hunan,2006,discovery_date,2006,2007,1,113.21,28.2
Leptopoecile elegans,Yunnan,2010,discovery_date,2010,2011,1,98.82,28.4
Leptoptilos javanicus,Yunnan,2013,discovery_date,2013,2014,1,103.38,23.42
Limnodromus semipalmatus,Shaanxi,2019,discovery_date,2019,2020,1,109.42,34.8
Limnodromus semipalmatus,Xinjiang,2010,discovery_date,2010,2011,1,84.92,44.48
Limosa limosa,Ningxia,2011,discovery_date,2011,2011,0,106.46,38.87
Linaria cannabina,Inner Mongolia,2019,discovery_date,2019,2023,4,105.88,38.98
Locustella davidi,Guangxi,2023,discovery_date,2023,2024,1,106.97,22.5
Locustella mandelli,Guizhou,2009,discovery_date,2009,2010,1,107.13,28.18
Locustella mandelli,Hunan,2011,discovery_date,2011,2014,3,110.63,30.02
Lonchura striata,Gansu,2009,discovery_date,2009,2011,2,104.69,32.95
Lonchura striata,Tibet,2003,discovery_date,2003,2006,3,95.15,29.23
Lophotriorchis kienerii,Tibet,2019,discovery_date,2019,2019,0,95.35,29.45
Lophura nycthemera,Guangdong,2022,discovery_date,2022,2024,2,114.23,22.9
Lophura nycthemera,Jiangsu,2016,discovery_date,2016,2017,1,119.58,31.23
Loxia curvirostra,Hubei,2019,discovery_date,2019,2024,5,110.58,32.1
Macropygia unchall,Jiangsu,2021,discovery_date,2021,2024,3,120.73,31.65
Macropygia unchall,Tibet,2016,discovery_date,2016,2017,1,93.8,29.38
Macropygia unchall,Zhejiang,2014,discovery_date,2014,2016,2,119.19,27.91
Mareca falcata,Gansu,2018,discovery_date,2018,2019,1,101.65,37.98
Mareca falcata,Xinjiang,2022,discovery_date,2022,2023,1,87.63,44.18
Megaceryle lugubris,Inner Mongolia,2014,discovery_date,2014,2015,1,117.23,42.95
Megaceryle lugubris,Qinghai,2017,discovery_date,2017,2019,2,102.66,36.41
Megaceryle lugubris,Tibet,2019,discovery_date,2019,2019,0,95.2,29.25
Melanitta fusca,Guangdong,2023,discovery_date,2023,2025,2,113.75,22.53
Melanitta fusca,Shanghai,2019,discovery_date,2019,2021,2,121.94,30.91
Melanitta stejnegeri,Guizhou,2023,discovery_date,2023,2025,2,105.7,28.52
Melanitta stejnegeri,Shaanxi,2016,discovery_date,2016,2017,1,109.04,32.71
Melanochlora sultanea,Tibet,2019,discovery_date,2019,2019,0,95.26,29.29
Melanochlora sultanea,Zhejiang,2017,discovery_date,2017,2018,1,119.15,27.9
Mergus serrator,Guizhou,2023,discovery_date,2023,2024,1,106.48,26.44
Mergus serrator,Hunan,2020,discovery_date,2020,2022,2,114.13,28.17
Mergus serrator,Shaanxi,2016,discovery_date,2016,2017,1,109.17,33.42
Mergus serrator,Yunnan,2016,discovery_date,2016,2017,1,103.3,23.59
Merops philippinus,Henan,2022,discovery_date,2022,2023,1,111.24,33.06
Mixornis gularis,Guangxi,2005,discovery_date,2005,2005,0,106.96,22.47
Monticola gularis,Sichuan,2011,discovery_date,2011,2013,2,104.76,32.58
Monticola rufiventris,Shaanxi,2005,discovery_date,2005,2007,2,107.76,33.6
Monticola solitarius,Qinghai,2017,discovery_date,2017,2019,2,102.66,35.83
Motacilla citreola,Hunan,2010,discovery_date,2010,2011,1,111.35,28.7
Moupinia poecilotis,Tibet,2019,discovery_date,2019,2022,3,98.43,28.37
Muscicapa dauurica,Xinjiang,2010,discovery_date,2010,2011,1,89,45
Muscicapa ferruginea,Hunan,2020,discovery_date,2020,2024,4,112.93,28.18
Muscicapa ferruginea,Zhejiang,2013,discovery_date,2013,2013,0,121.93,29.2
Muscicapa muttui,Henan,2019,discovery_date,2019,2020,1,111.84,34.26
Muscicapa muttui,Hunan,2013,discovery_date,2013,2015,2,111.07,29.88
Muscicapa muttui,Jiangsu,2023,discovery_date,2023,2024,1,120.83,33.19
Muscicapa muttui,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.88
Mycerobas affinis,Shaanxi,2014,discovery_date,2014,2014,0,107.78,33.93
Mycerobas affinis,Shandong,2009,discovery_date,2009,2009,0,119.22,37.27
Mycerobas carnipes,Henan,2017,discovery_date,2017,2021,4,110.38,34.38
Myiomela leucura,Jiangxi,2016,discovery_date,2016,2018,2,113.99,29.01
Netta rufina,Anhui,2016,discovery_date,2016,2017,1,117.93,33.22
Netta rufina,Jilin,2020,discovery_date,2020,2023,3,125.35,43.88
Netta rufina,Liaoning,2012,discovery_date,2012,2022,10,123.02,39.66
Netta rufina,Shanghai,2012,discovery_date,2012,2018,6,121.9,31.05
Niltava davidi,Zhejiang,2017,discovery_date,2017,2018,1,119.15,27.9
Niltava grandis,Guangxi,2002,discovery_date,2002,2003,1,106.35,24.52
Niltava macgrigoriae,Shandong,2023,discovery_date,2023,2023,0,122.43,36.88
Niltava sundara,Hunan,2014,discovery_date,2014,2015,1,110.38,29.3
Ninox japonica,Hunan,2018,discovery_date,2018,2023,5,111.63,29.53
Nipponia nippon,Gansu,2021,discovery_date,2021,2024,3,106.37,34.32
Nisaetus nipalensis,Gansu,2006,discovery_date,2006,2007,1,104.71,32.93
Nisaetus nipalensis,Guizhou,2017,discovery_date,2017,2018,1,105.83,28.12
Nycticorax nycticorax,Tibet,2014,discovery_date,2014,2014,0,91.09,29.28
Oenanthe deserti,Shanghai,2014,discovery_date,2014,2018,4,121.75,31.38
Oenanthe deserti,Sichuan,2012,discovery_date,2012,2012,0,100.78,30.17
Oenanthe deserti,Zhejiang,2021,discovery_date,2021,2022,1,120.89,27.86
Oenanthe oenanthe,Jiangsu,2023,discovery_date,2023,2024,1,120.83,31.79
Onychoprion anaethetus,Guangxi,2013,discovery_date,2013,2013,0,109.2,20.92
Onychoprion anaethetus,Jiangsu,2021,discovery_date,2021,2025,4,120.82,31.87
Onychoprion anaethetus,Shandong,2018,discovery_date,2018,2019,1,120.68,36.01
Onychoprion anaethetus,Yunnan,2024,discovery_date,2024,2024,0,103.16,23.35
Oriolus oriolus,Qinghai,2015,discovery_date,2015,2017,2,93.9,35.62
Otus lettia,Gansu,2023,discovery_date,2023,2024,1,105.16,32.64
Otus semitorques,Henan,2011,discovery_date,2011,2012,1,114.25,31.95
Otus semitorques,Inner Mongolia,2022,discovery_date,2022,2022,0,110.82,40.85
Otus semitorques,Zhejiang,2014,discovery_date,2014,2015,1,119.12,30.3
Otus spilocephalus,Anhui,2022,discovery_date,2022,2023,1,118.15,30.09
Otus spilocephalus,Jiangxi,2004,discovery_date,2004,2011,7,114.38,24.49
Oxyura leucocephala,Shaanxi,2018,discovery_date,2018,2019,1,109.54,34.81
Oxyura leucocephala,Sichuan,2020,discovery_date,2020,2022,2,104.81,31.37
Panurus biarmicus,Henan,2021,discovery_date,2021,2024,3,112.97,34.72
Panurus biarmicus,Shaanxi,2018,discovery_date,2018,2020,2,109.89,39.07
Paradoxornis guttaticollis,Hunan,2010,discovery_date,2010,2014,4,110.77,29.97
Paradoxornis heudei,Anhui,2006,discovery_date,2006,2010,4,117.17,33.17
Paradoxornis heudei,Henan,2006,discovery_date,2006,2008,2,112.64,34.85
Paradoxornis heudei,Jilin,2021,discovery_date,2021,2022,1,123.58,45.93
Parayuhina diademata,Tibet,2013,discovery_date,2013,2014,1,98.47,28.84
Pardaliparus venustulus,Jilin,2010,discovery_date,2010,2012,2,123.57,45.93
Pardaliparus venustulus,Qinghai,2013,discovery_date,2013,2014,1,102.67,35.8
Parus monticolus,Guangxi,2004,discovery_date,2004,2006,2,106.09,23.36
Passer cinnamomeus,Beijing,2004,discovery_date,2004,2004,0,115.48,39.77
Passer cinnamomeus,Inner Mongolia,2017,discovery_date,2017,2017,0,118.47,41.41
Passer domesticus,Hainan,2017,discovery_date,2017,2022,5,112.34,16.84
Passer domesticus,Hubei,2023,discovery_date,2023,2024,1,111.26,30.69
Passer domesticus,Jiangxi,2019,discovery_date,2019,2023,4,116.08,29.06
Passer domesticus,Shaanxi,2009,discovery_date,2009,2009,0,108.76,34.35
Passer domesticus,Yunnan,2014,discovery_date,2014,2015,1,100.98,22.79
Passer domesticus,Zhejiang,2021,discovery_date,2021,2023,2,120.72,27.73
Passer hispaniolensis,Inner Mongolia,2014,discovery_date,2014,2015,1,107.8,38.4
Passer hispaniolensis,Sichuan,2016,discovery_date,2016,2019,3,102.98,30.9
Pelecanus crispus,Guizhou,2023,discovery_date,2023,2024,1,104.26,26.82
Pellorneum tickelli,Guangxi,2005,discovery_date,2005,2006,1,106.88,22.35
Perdix hodgsoniae,Yunnan,2011,discovery_date,2011,2013,2,99.95,28.04
Pericrocotus cantonensis,Tianjin,2020,discovery_date,2020,2023,3,118,39.24
Pericrocotus divaricatus,Hainan,2017,discovery_date,2017,2020,3,108.82,18.7
Pericrocotus ethologus,Hunan,2011,discovery_date,2011,2014,3,110.54,30.06
Pericrocotus ethologus,Inner Mongolia,2013,discovery_date,2013,2014,1,111.28,40.55
Pericrocotus ethologus,Jiangsu,2022,discovery_date,2022,2024,2,120.82,31.85
Pericrocotus solaris,Anhui,2007,discovery_date,2007,2010,3,117.72,29.85
Pericrocotus solaris,Chongqing,2007,discovery_date,2007,2009,2,109.08,31.12
Phoenicurus erythronotus,Gansu,2019,discovery_date,2019,2020,1,98.53,39.75
Phoenicurus frontalis,Jiangxi,2019,discovery_date,2019,2019,0,115.56,29.02
Phoenicurus frontalis,Shandong,2017,discovery_date,2017,2017,0,117,35.8
Phoenicurus leucocephalus,Xinjiang,2009,discovery_date,2009,2010,1,75.21,37.8
Phoenicurus ochruros,Hunan,2021,discovery_date,2021,2021,0,110.44,29.1
Phoenicurus ochruros,Jiangsu,2014,discovery_date,2014,2025,11,121.04,32.56
Phoenicurus ochruros,Shanghai,2011,discovery_date,2011,2013,2,121.97,30.88
Phoenicurus ochruros,Zhejiang,2019,discovery_date,2019,2020,1,122.19,29.43
Phoenicurus schisticeps,Shandong,2009,publication_minus_median_lag,2019,2010,1,117.12,36.25
Phylloscopus affinis,Guangxi,2009,discovery_date,2009,2010,1,110.42,25.86
Phylloscopus affinis,Heilongjiang,2010,discovery_date,2010,2011,1,125.25,49.09
Phylloscopus burkii,Tianjin,2002,discovery_date,2002,2002,0,117.21,38.96
Phylloscopus cantator,Guangxi,2014,discovery_date,2014,2014,0,105.79,23.02
Phylloscopus cantator,Tibet,2016,discovery_date,2016,2017,1,95.14,29.23
Phylloscopus castaniceps,Anhui,2015,discovery_date,2015,2017,2,118.76,30.1
Phylloscopus castaniceps,Heilongjiang,2002,discovery_date,2002,2003,1,125.25,49.09
Phylloscopus castaniceps,Shanghai,2011,discovery_date,2011,2013,2,121.15,31.08
Phylloscopus claudiae,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.91
Phylloscopus coronatus,Xinjiang,2010,discovery_date,2010,2013,3,88.16,39.05
Phylloscopus emeiensis,Hunan,2018,discovery_date,2018,2019,1,110.75,30.05
Phylloscopus intermedius,Guangxi,2006,discovery_date,2006,2008,2,106.42,23.13
Phylloscopus intermedius,Hainan,2018,discovery_date,2018,2019,1,110.34,20.07
Phylloscopus intermedius,Henan,2022,discovery_date,2022,2022,0,114.4,31.81
Phylloscopus intermedius,Hunan,2017,discovery_date,2017,2022,5,110.57,30.05
Phylloscopus intermedius,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.91
Phylloscopus magnirostris,Hunan,2012,discovery_date,2012,2014,2,110.65,30.05
Phylloscopus ogilviegranti,Shaanxi,2011,discovery_date,2011,2012,1,107.78,34.06
Phylloscopus omeiensis,Hunan,2015,discovery_date,2015,2023,8,110.6,30.05
Phylloscopus pulcher,Hunan,2021,discovery_date,2021,2022,1,112.92,28.17
Phylloscopus ricketti,Anhui,2016,discovery_date,2016,2017,1,117.29,30.01
Phylloscopus ricketti,Henan,2016,discovery_date,2016,2016,0,112.61,34.9
Phylloscopus ricketti,Jiangxi,2009,discovery_date,2009,2010,1,117.73,27.85
Phylloscopus soror,Beijing,2011,discovery_date,2011,2013,2,115.43,40
Phylloscopus soror,Hunan,2015,discovery_date,2015,2023,8,110.6,30.05
Phylloscopus soror,Jiangsu,2021,discovery_date,2021,2021,0,120.86,33.07
Phylloscopus soror,Shanghai,2011,discovery_date,2011,2013,2,121.97,30.88
Phylloscopus subaffinis,Inner Mongolia,2019,discovery_date,2019,2023,4,105.66,38.83
Phylloscopus tenellipes,Henan,2011,discovery_date,2011,2011,0,114.25,31.97
Phylloscopus tephrocephalus,Anhui,2022,discovery_date,2022,2024,2,117.27,31.84
Phylloscopus tephrocephalus,Gansu,2016,discovery_date,2016,2016,0,105.41,33.14
Phylloscopus tephrocephalus,Guizhou,2011,discovery_date,2011,2012,1,107.17,28.22
Phylloscopus tephrocephalus,Hunan,2015,discovery_date,2015,2016,1,113.63,25.9
Phylloscopus tephrocephalus,Tianjin,2020,discovery_date,2020,2023,3,118,39.24
Phylloscopus yunnanensis,Jiangxi,2011,discovery_date,2011,2012,1,114.16,26.57
Picumnus innominatus,Guangxi,2005,discovery_date,2005,2006,1,106.42,23.13
Picumnus innominatus,Shandong,2015,discovery_date,2015,2017,2,117.06,36.28
Picus chlorolophus,Tibet,2019,discovery_date,2019,2019,0,95.35,29.33
Pitta nympha,Hubei,2009,discovery_date,2009,2011,2,110.9,30.85
Pitta nympha,Jilin,2019,discovery_date,2019,2020,1,126.07,44.07
Platalea minor,Anhui,2016,discovery_date,2016,2017,1,116.91,30.51
Pnoepyga immaculata,Tibet,2010,discovery_date,2010,2010,0,85.97,27.98
Podiceps auritus,Gansu,2020,discovery_date,2020,2021,1,100.44,38.97
Podiceps auritus,Shaanxi,2016,discovery_date,2016,2017,1,109.03,32.71
Podiceps grisegena,Gansu,2007,discovery_date,2007,2008,1,101.1,38.86
Podiceps nigricollis,Shaanxi,2002,discovery_date,2002,2007,5,106.9,32.95
Podiceps nigricollis,Tibet,2013,discovery_date,2013,2014,1,97.8,29.3
Podoces biddulphi,Gansu,2008,discovery_date,2008,2009,1,93.47,40.28
Pomatorhinus schisticeps,Tibet,2015,discovery_date,2015,2016,1,95.35,29.33
Prinia atrogularis,Guizhou,2016,discovery_date,2016,2016,0,108.34,26.35
Prinia atrogularis,Hunan,2015,discovery_date,2015,2016,1,113.73,26.01
Prinia flaviventris,Hubei,2019,discovery_date,2019,2022,3,114.04,29.57
Prinia flaviventris,Jiangsu,2022,discovery_date,2022,2025,3,121.44,32.34
Prinia inornata,Shaanxi,2023,discovery_date,2023,2023,0,108.7,32.75
Prunella collaris,Hunan,2020,discovery_date,2020,2022,2,110.78,30.1
Prunella himalayana,Shandong,2009,publication_minus_median_lag,2019,2010,1,117.12,36.25
Prunella immaculata,Shaanxi,2007,discovery_date,2007,2007,0,107.77,33.92
Prunella montanella,Jiangsu,2014,discovery_date,2014,2025,11,121.04,32.56
Prunella montanella,Xinjiang,2008,discovery_date,2008,2008,0,87.54,44.18
Prunella strophiata,Guizhou,2009,discovery_date,2009,2010,1,107.13,28.18
Prunella strophiata,Henan,2016,discovery_date,2016,2017,1,111.32,33.96
Psarisomus dalhousiae,Tibet,2015,discovery_date,2015,2016,1,95.32,29.34
Pseudopodoces humilis,Inner Mongolia,2020,discovery_date,2020,2023,3,100.87,39.18
Psilopogon faber,Fujian,2014,discovery_date,2014,2014,0,118.16,26.68
Psilopogon faber,Zhejiang,2016,discovery_date,2016,2018,2,119.13,28.35
Psilopogon virens,Gansu,2016,discovery_date,2016,2017,1,105.51,32.97
Pterorhinus berthemyi,Jiangsu,2007,discovery_date,2007,2009,2,118.86,32.06
Pterorhinus lanceolatus,Henan,2016,discovery_date,2016,2017,1,111.32,33.96
Pterorhinus pectoralis,Jiangsu,2007,discovery_date,2007,2009,2,118.85,32.07
Pterorhinus sannio,Henan,2014,discovery_date,2014,2017,3,115.27,31.72
Pteruthius rufiventer,Tibet,2019,discovery_date,2019,2019,0,95.26,29.29
Pteruthius xanthochlorus,Anhui,2015,discovery_date,2015,2016,1,118.53,29.57
Pteruthius xanthochlorus,Guizhou,2017,discovery_date,2017,2018,1,106.19,28.34
Pteruthius xanthochlorus,Hunan,2011,discovery_date,2011,2014,3,110.68,29.98
Ptyonoprogne rupestris,Hubei,2017,discovery_date,2017,2025,8,113.69,29.4
Ptyonoprogne rupestris,Jiangsu,2021,discovery_date,2021,2024,3,120.48,31.3
Pycnonotus jocosus,Hainan,2010,discovery_date,2010,2011,1,110.33,20
Pycnonotus jocosus,Henan,2010,discovery_date,2010,2013,3,113.7,34.71
Pycnonotus jocosus,Sichuan,2011,discovery_date,2011,2018,7,104.67,30.63
Pycnonotus sinensis,Beijing,2002,discovery_date,2002,2003,1,116.62,40.36
Pycnonotus sinensis,Inner Mongolia,2024,discovery_date,2024,2024,0,121.95,45.15
Pycnonotus sinensis,Jilin,2018,discovery_date,2018,2020,2,125.41,43.81
Pycnonotus sinensis,Liaoning,2004,discovery_date,2004,2006,2,121.59,38.92
Pycnonotus sinensis,Ningxia,2010,discovery_date,2010,2011,1,106.73,38.75
Pycnonotus sinensis,Qinghai,2006,discovery_date,2006,2006,0,101.75,36.63
Pycnonotus xanthorrhous,Ningxia,2019,discovery_date,2019,2019,0,106.39,35.41
Pycnonotus xanthorrhous,Shanghai,2008,discovery_date,2008,2018,10,121.96,30.88
Pyrrhula erythaca,Hunan,2011,discovery_date,2011,2011,0,110.65,30.03
Pyrrhula nipalensis,Henan,2023,discovery_date,2023,2024,1,111.93,33.5
Pyrrhula nipalensis,Hunan,2010,discovery_date,2010,2011,1,110.67,30.05
Pyrrhula nipalensis,Shaanxi,2010,discovery_date,2010,2010,0,109.51,31.95
Rallina eurizonoides,Jiangxi,2006,discovery_date,2006,2009,3,114.08,25.9
Rallina eurizonoides,Shandong,2020,discovery_date,2020,2022,2,117.05,36.22
Rallus aquaticus,Anhui,2022,discovery_date,2022,2022,0,117.35,31.2
Rallus aquaticus,Inner Mongolia,2009,discovery_date,2009,2023,14,105.67,38.83
Rallus aquaticus,Ningxia,2009,discovery_date,2009,2023,14,106.27,38.2
Rallus aquaticus,Shaanxi,2018,discovery_date,2018,2025,7,107.53,33.61
Recurvirostra avosetta,Ningxia,2010,discovery_date,2010,2011,1,106.39,38.38
Recurvirostra avosetta,Yunnan,2007,discovery_date,2007,2010,3,99.64,27.9
Regulus regulus,Anhui,2011,discovery_date,2011,2011,0,117.19,31.88
Regulus regulus,Hunan,2012,discovery_date,2012,2023,11,112.99,28.21
Remiz consobrinus,Guangxi,2012,discovery_date,2012,2015,3,108.32,22.58
Remiz consobrinus,Guizhou,2023,discovery_date,2023,2024,1,106.66,26.73
Remiz consobrinus,Shaanxi,2015,discovery_date,2015,2015,0,109.44,34.8
Remiz consobrinus,Sichuan,2020,discovery_date,2020,2021,1,105.38,29.15
Remiz coronatus,Gansu,2021,discovery_date,2021,2022,1,103.45,38.97
Remiz coronatus,Inner Mongolia,2021,discovery_date,2021,2022,1,101.65,39.21
Rhodospiza obsoleta,Shaanxi,2010,discovery_date,2010,2010,0,109.74,38.25
Sasia ochracea,Guangdong,2013,discovery_date,2013,2014,1,111.88,23.45
Sasia ochracea,Hunan,2017,discovery_date,2017,2018,1,109.83,26.07
Saxicola ferreus,Tianjin,2019,discovery_date,2019,2019,0,117.63,39.07
Sitta cinnamoventris,Tibet,2016,discovery_date,2016,2017,1,95.4,29.41
Sitta formosa,Tibet,2019,discovery_date,2019,2019,0,95.36,29.33
Sitta villosa,Heilongjiang,2005,discovery_date,2005,2006,1,126.66,45.74
Sitta villosa,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26
Sittiparus varius,Shanghai,2012,discovery_date,2012,2013,1,121.97,30.88
Spilopelia chinensis,Inner Mongolia,2004,discovery_date,2004,2006,2,111.72,40.81
Spilopelia chinensis,Jilin,2016,discovery_date,2016,2022,6,125.4,43.81
Spilopelia senegalensis,Gansu,2020,discovery_date,2020,2023,3,97.11,40.47
Spilornis cheela,Heilongjiang,2010,discovery_date,2010,2011,1,124.56,47.08
Spilornis cheela,Shanghai,2015,discovery_date,2015,2018,3,121.97,30.89
Spinus spinus,Xinjiang,2010,discovery_date,2010,2010,0,91.25,40.63
Spizixos semitorques,Beijing,2019,discovery_date,2019,2022,3,116.33,39.94
Spizixos semitorques,Hebei,2019,discovery_date,2019,2020,1,114.01,37.14
Spizixos semitorques,Shandong,2011,discovery_date,2011,2017,6,119.55,35.5
Spodiopsar cineraceus,Tibet,2016,discovery_date,2016,2018,2,91.56,29.84
Spodiopsar sericeus,Gansu,2015,discovery_date,2015,2015,0,105.49,33
Spodiopsar sericeus,Jilin,2019,discovery_date,2019,2025,6,123.79,44.23
Spodiopsar sericeus,Liaoning,2007,discovery_date,2007,2014,7,124.15,39.97
Spodiopsar sericeus,Ningxia,2016,discovery_date,2016,2024,8,105.05,37.47
Stachyris humei,Tibet,2014,discovery_date,2014,2015,1,95.47,29.6
Staphida torqueola,Gansu,2021,discovery_date,2021,2022,1,105.47,32.88
Streptopelia decaocto,Heilongjiang,2005,discovery_date,2005,2006,1,125.26,49.1
Sturnia sinensis,Jiangsu,2018,discovery_date,2018,2019,1,119.78,33.86
Sturnus vulgaris,Heilongjiang,2007,discovery_date,2007,2008,1,124.22,47.2
Sturnus vulgaris,Inner Mongolia,2013,discovery_date,2013,2014,1,121.5,51.33
Sturnus vulgaris,Shaanxi,2012,discovery_date,2012,2013,1,109.54,34.81
Suthora fulvifrons,Hubei,2017,discovery_date,2017,2017,0,110.19,31.45
Syrmaticus humiae,Yunnan,2017,discovery_date,2017,2022,5,104.37,23.1
Syrmaticus reevesii,Guangxi,2020,discovery_date,2020,2021,1,106.28,24.8
Tarsiger chrysaeus,Guizhou,2019,discovery_date,2019,2020,1,106.57,26.29
Tarsiger chrysaeus,Henan,2023,discovery_date,2023,2023,0,113.9,35.32
Tarsiger chrysaeus,Hunan,2022,discovery_date,2022,2025,3,110.56,29.34
Tarsiger indicus,Shaanxi,2015,discovery_date,2015,2018,3,107.83,33.67
Temnurus temnurus,Guangdong,2020,discovery_date,2020,2022,2,111.43,21.79
Tephrodornis virgatus,Zhejiang,2019,discovery_date,2019,2020,1,119.87,27.75
Thalasseus bergii,Shanghai,2011,discovery_date,2011,2013,2,121.98,31.29
Timalia pileata,Jiangxi,2003,discovery_date,2003,2011,8,114.38,24.49
Tragopan caboti,Anhui,2018,discovery_date,2018,2022,4,118.23,29.43
Tragopan temminckii,Henan,2017,discovery_date,2017,2021,4,110.38,34.38
Treron curvirostra,Guangdong,2022,discovery_date,2022,2023,1,112.55,23.17
Treron sieboldii,Henan,2022,discovery_date,2022,2024,2,111.3,33.04
Treron sieboldii,Jiangxi,2004,discovery_date,2004,2011,7,114.38,24.49
Treron sieboldii,Zhejiang,2020,discovery_date,2020,2021,1,119.67,27.71
Treron sphenurus,Guangdong,2022,discovery_date,2022,2023,1,112.55,23.17
Turdus boulboul,Anhui,2022,discovery_date,2022,2023,1,115.68,31.27
Turdus boulboul,Fujian,2019,discovery_date,2019,2020,1,117.78,27.86
Turdus boulboul,Henan,2016,discovery_date,2016,2020,4,111.92,33.5
Turdus boulboul,Hunan,2009,publication_minus_median_lag,2011,2010,1,110.65,28.8
Turdus boulboul,Jiangxi,2017,discovery_date,2017,2018,1,114.04,26.3
Turdus boulboul,Ningxia,2018,discovery_date,2018,2019,1,106.35,35.27
Turdus boulboul,Qinghai,2024,discovery_date,2024,2025,1,102.68,35.81
Turdus boulboul,Shaanxi,2006,discovery_date,2006,2007,1,107.98,33.53
Turdus boulboul,Tibet,2019,discovery_date,2019,2020,1,91.96,27.99
Turdus boulboul,Zhejiang,2021,discovery_date,2021,2022,1,119.72,30.25
Turdus cardis,Beijing,2013,discovery_date,2013,2014,1,116.33,40
Turdus cardis,Shaanxi,2019,discovery_date,2019,2019,0,109.05,34.32
Turdus feae,Anhui,2022,discovery_date,2022,2024,2,117.27,31.83
Turdus feae,Guizhou,2015,discovery_date,2015,2016,1,107.15,28.2
Turdus feae,Sichuan,2012,discovery_date,2012,2012,0,104.07,30.64
Turdus mandarinus,Beijing,2007,discovery_date,2007,2011,4,116.29,40
Turdus mandarinus,Ningxia,2016,discovery_date,2016,2021,5,106.22,37.35
Turdus pilaris,Heilongjiang,2010,discovery_date,2010,2012,2,125.14,51.14
Turdus pilaris,Shaanxi,2022,discovery_date,2022,2023,1,108.75,34.14
Turdus rubrocanus,Henan,2019,discovery_date,2019,2020,1,114.25,31.94
Turdus rubrocanus,Inner Mongolia,2021,discovery_date,2021,2023,2,103.7,38.3
Turdus rubrocanus,Jiangxi,2017,discovery_date,2017,2018,1,115.28,29.01
Turdus rubrocanus,Shanxi,2016,discovery_date,2016,2018,2,111.92,37.65
Turdus ruficollis,Jiangsu,2013,discovery_date,2013,2021,8,119.49,31.55
Turdus ruficollis,Tianjin,2005,discovery_date,2005,2006,1,117.1,38.91
Turdus viscivorus,Gansu,2018,discovery_date,2018,2019,1,98.53,39.75
Turdus viscivorus,Inner Mongolia,2019,discovery_date,2019,2023,4,101.07,42.13
Turdus viscivorus,Ningxia,2021,discovery_date,2021,2023,2,106.02,38.75
Turnix suscitator,Anhui,2023,discovery_date,2023,2025,2,117.09,30.26
Turnix suscitator,Zhejiang,2021,discovery_date,2021,2023,2,121.02,28.86
Tyto longimembris,Hebei,2004,discovery_date,2004,2005,1,117.5,38.15
Urile pelagicus,Jiangsu,2023,discovery_date,2023,2024,1,121.54,31.77
Urosphena squameiceps,Anhui,2013,discovery_date,2013,2017,4,118.5,31.69
Vanellus indicus,Chongqing,2017,discovery_date,2017,2019,2,106.68,29.74
Yuhina nigrimenta,Gansu,2016,discovery_date,2016,2017,1,105.38,32.88
Yuhina nigrimenta,Shaanxi,2006,discovery_date,2006,2007,1,107.25,32.55
Zoothera dixoni,Hubei,2019,discovery_date,2019,2020,1,109.71,29.99
Zoothera dixoni,Hunan,2015,discovery_date,2015,2016,1,110.1,29.78
Zoothera mollissima,Hunan,2012,discovery_date,2012,2014,2,110.74,29.87
Zoothera mollissima,Shaanxi,2004,discovery_date,2004,2007,3,107.89,34.1
Zoothera monticola,Tibet,2019,discovery_date,2019,2020,1,91.96,27.99
Zoothera monticola,Yunnan,2007,discovery_date,2007,2007,0,97.83,24.02
Zosterops erythropleurus,Qinghai,2017,discovery_date,2017,2019,2,102.67,35.8
