species,year,val
Niltava sundara,1970,4.82376194000244
Ninox japonica,1970,4.69747495651245
Nipponia nippon,1970,5.23244333267212
Nisaetus nipalensis,1970,5.96425867080689
Numenius madagascariensis,1970,2.1471483707428
Nycticorax nycticorax,1970,5.54276657104492
Oenanthe deserti,1970,2.63109135627747
Oenanthe oenanthe,1970,2.92128396034241
Onychoprion anaethetus,1970,7.22165012359619
Oriolus oriolus,1970,2.59952712059021
Otus lettia,1970,6.30428075790405
Otus semitorques,1970,3.81651401519775
Otus spilocephalus,1970,6.08029556274414
Oxyura leucocephala,1970,3.35225868225098
Panurus biarmicus,1970,2.94712591171265
Paradoxornis guttaticollis,1970,6.11202049255371
Paradoxornis heudei,1970,4.9220118522644
Parayuhina diademata,1970,5.22727870941162
Pardaliparus venustulus,1970,5.29405450820923
Parus monticolus,1970,5.13790369033814
Passer cinnamomeus,1970,5.11279821395874
Passer domesticus,1970,2.14609885215759
Passer hispaniolensis,1970,2.9277172088623
Pelecanus crispus,1970,2.02661514282227
Pellorneum tickelli,1970,6.69127798080444
Perdix hodgsoniae,1970,1.56875836849213
Pericrocotus cantonensis,1970,6.03413963317871
Pericrocotus divaricatus,1970,2.61557793617249
Pericrocotus ethologus,1970,4.45910358428955
Pericrocotus solaris,1970,6.42391061782837
Periparus rubidiventris,1970,2.19875383377075
Pernis ptilorhynchus,1970,2.83029556274414
Phasianus colchicus,1970,4.01128768920898
Phoenicurus erythronotus,1970,3.00599431991577
Phoenicurus frontalis,1970,3.1485230922699
Phoenicurus leucocephalus,1970,3.86537170410156
Phoenicurus ochruros,1970,2.74956583976746
Phoenicurus schisticeps,1970,2.73027396202087
Phylloscopus affinis,1970,3.28675031661987
Phylloscopus burkii,1970,2.74495124816895
Phylloscopus cantator,1970,5.92670679092407
Phylloscopus castaniceps,1970,5.95992708206177
Phylloscopus claudiae,1970,4.37161493301392
Phylloscopus coronatus,1970,3.62872815132141
Phylloscopus emeiensis,1970,5.10461139678955
Phylloscopus intermedius,1970,5.49414014816284
