group,n,n_events,term,estimate,se,p_value,grouping,odds_ratio,OR_lo,OR_hi,significant
Partial migrant,228,91,z_log_congeners,-0.169709193569101,0.167085318538639,0.30977045620463,Migratory strategy,0.843910195427715,0.608233504127056,1.17090626069503,FALSE
Partial migrant,228,91,z_log_habbreadth,0.0269457799293984,0.154048791926649,0.861144712418978,Migratory strategy,1.0273121003188,0.759579831214497,1.38941307824615,FALSE
Partial migrant,228,91,z_log_dietbreadth,0.0328782912630842,0.191980053777022,0.864020202435014,Migratory strategy,1.03342475476533,0.709352558689837,1.50555138016883,FALSE
Partial migrant,228,91,trophic_nicheOmnivore,-0.41832005945575,0.49155386185372,0.394760625185478,Migratory strategy,0.658151547085387,0.251134750659346,1.72482485117504,FALSE
Partial migrant,228,91,trophic_nicheAquatic predator,-0.289338917298343,0.559739714055049,0.605214170310233,Migratory strategy,0.748758395222348,0.249966403326088,2.24285794793221,FALSE
Partial migrant,228,91,trophic_nicheGranivore,-1.26421129967297,0.628585170760215,0.0443042007011374,Migratory strategy,0.282461986171996,0.082394364667495,0.968328039838678,TRUE
Partial migrant,228,91,trophic_nicheVertivore/Scavenger,0.43407394988439,0.706567149732713,0.538989284835529,Migratory strategy,1.54353300798361,0.386432657223272,6.16535404604374,FALSE
Partial migrant,228,91,trophic_nicheFrugivore/Nectarivore,0.13198938451471,0.720727899662412,0.854693312735535,Migratory strategy,1.14109620591295,0.277860164059097,4.68617210947877,FALSE
Partial migrant,228,91,trophic_nicheHerbivore,-0.872266339914131,1.19539154227084,0.465579139880775,Migratory strategy,0.418003137746855,0.0401459480988201,4.35228538471985,FALSE
Partial migrant,228,91,habitat_densitySemi-open,0.0594251178034665,0.391944297400604,0.879489629576504,Migratory strategy,1.06122629104844,0.492241561116131,2.287903602164,FALSE
Partial migrant,228,91,habitat_densityOpen,0.0548822360048606,0.402452628400779,0.891529238293045,Migratory strategy,1.05641619955764,0.480021244991518,2.3249287366594,FALSE
Partial migrant,228,91,iucn_groupNear Threatened,-0.505783025234812,0.951777173893128,0.595135335895925,Migratory strategy,0.603033200297091,0.0933624278526258,3.89502553676708,FALSE
Partial migrant,228,91,iucn_groupThreatened,0.932853979342827,0.843406681111051,0.268702815691384,Migratory strategy,2.54175294632128,0.486643666035883,13.2756439485982,FALSE
Partial migrant,228,91,endemic_finalEndemic,0.921880706207101,1.15476684382903,0.424681177591295,Migratory strategy,2.51401406848152,0.261463049465144,24.172695719154,FALSE
Migratory,503,127,z_log_mass,0.551293888759689,0.189735418043855,0.00366557985245452,Migratory strategy,1.73549710595201,1.19651416787322,2.51727082356366,TRUE
Migratory,503,127,z_log_hwi,-0.675438480488184,0.190213225040937,0.000383836974252279,Migratory strategy,0.508933214391041,0.350548432260033,0.738879404025587,TRUE
Migratory,503,127,z_log_range,0.246202627496089,0.140863457752818,0.0804968502660538,Migratory strategy,1.27915874001631,0.970552531358427,1.68589234409596,FALSE
Migratory,503,127,z_log_clutch,0.18614242895132,0.115623686591934,0.107419961113564,Migratory strategy,1.20459381719416,0.960328373989712,1.51098968199178,FALSE
Migratory,503,127,z_log_congeners,0.0672828373668979,0.132548885644398,0.611728476924494,Migratory strategy,1.06959795766632,0.824883612385366,1.38691055788546,FALSE
Migratory,503,127,z_log_habbreadth,-0.185660615315933,0.118846312855708,0.118243049740125,Migratory strategy,0.830555424945336,0.657967731907789,1.0484135930283,FALSE
Migratory,503,127,z_log_dietbreadth,0.00292368908799835,0.128238959326622,0.981810798192433,Migratory strategy,1.00292796723525,0.780028617247882,1.28952257035331,FALSE
Migratory,503,127,trophic_nicheOmnivore,-0.344085537491366,0.407521153791864,0.398480637471055,Migratory strategy,0.708868290640872,0.318916170566988,1.57563115279713,FALSE
Migratory,503,127,trophic_nicheAquatic predator,0.150356052550667,0.438651955018124,0.73177265972064,Migratory strategy,1.16224799042745,0.491938397193781,2.74591371390866,FALSE
Migratory,503,127,trophic_nicheGranivore,-0.0729893086696522,0.631969699128349,0.908052823175385,Migratory strategy,0.929610768748487,0.269375242212117,3.20807574696365,FALSE
Migratory,503,127,trophic_nicheVertivore/Scavenger,0.409035825370796,0.615613002122366,0.506410898324945,Migratory strategy,1.50536564980212,0.45042411657841,5.03109326565039,FALSE
