species,province,new_year,old_year
Timalia pileata,Jiangxi,2003,2011
Tragopan caboti,Anhui,2018,2022
Tragopan temminckii,Henan,2017,2021
Treron curvirostra,Guangdong,2022,2023
Treron sieboldii,Henan,2022,2024
Treron sieboldii,Jiangxi,2004,2011
Treron sieboldii,Zhejiang,2020,2021
Treron sphenurus,Guangdong,2022,2023
Turdus boulboul,Anhui,2022,2023
Turdus boulboul,Fujian,2019,2020
Turdus boulboul,Henan,2016,2020
Turdus boulboul,Hunan,2009,2010
Turdus boulboul,Jiangxi,2017,2018
Turdus boulboul,Ningxia,2018,2019
Turdus boulboul,Qinghai,2024,
Turdus boulboul,Shaanxi,2006,2007
Turdus boulboul,Tibet,2019,2020
Turdus boulboul,Zhejiang,2021,2022
Turdus cardis,Beijing,2013,2014
Turdus cardis,Shaanxi,2019,2019
Turdus feae,Anhui,2022,2024
Turdus feae,Guizhou,2015,2016
Turdus feae,Sichuan,2012,2012
Turdus mandarinus,Beijing,2007,2011
Turdus mandarinus,Ningxia,2016,2021
Turdus pilaris,Heilongjiang,2010,2012
Turdus pilaris,Shaanxi,2022,2023
Turdus rubrocanus,Henan,2019,2020
Turdus rubrocanus,Inner Mongolia,2021,2023
Turdus rubrocanus,Jiangxi,2017,2018
Turdus rubrocanus,Shanxi,2016,2018
Turdus ruficollis,Jiangsu,2013,2021
Turdus ruficollis,Tianjin,2005,
Turdus viscivorus,Gansu,2018,2019
Turdus viscivorus,Inner Mongolia,2019,2023
Turdus viscivorus,Ningxia,2021,
Turnix suscitator,Anhui,2023,
Turnix suscitator,Zhejiang,2021,2023
Tyto longimembris,Hebei,2004,2005
Urile pelagicus,Jiangsu,2023,2024
Urosphena squameiceps,Anhui,2013,2017
Vanellus cinereus,Hainan,,2006
Vanellus indicus,Chongqing,2017,2019
Vanellus vanellus,Hainan,,2006
Yuhina nigrimenta,Gansu,2016,2017
Yuhina nigrimenta,Shaanxi,2006,2007
Zoothera dixoni,Hubei,2019,2020
Zoothera dixoni,Hunan,2015,2016
Zoothera mollissima,Hunan,2012,2014
Zoothera mollissima,Shaanxi,2004,2007
Zoothera monticola,Tibet,2019,2020
Zoothera monticola,Yunnan,2007,2007
Zosterops erythropleurus,Qinghai,2017,2019
