unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
140522,0.0119999725253131,197,Shanxi,阳城县,山西省,18
140524,0.0131865290334622,197,Shanxi,陵川县,山西省,9
140525,0.0155475270836062,197,Shanxi,泽州县,山西省,2
140581,0.00514418205864269,197,Shanxi,高平市,山西省,103
140602,0.0060263064952313,197,Shanxi,朔城区,山西省,87
140603,0.00487463891571234,197,Shanxi,平鲁区,山西省,111
140621,0.0105038601307059,197,Shanxi,山阴县,山西省,30
140622,0.00886288048886806,197,Shanxi,应县,山西省,54
140623,0.00593977794220788,197,Shanxi,右玉县,山西省,91
140681,0.00676463176965214,197,Shanxi,怀仁市,山西省,79
140702,0.00679390804720684,197,Shanxi,榆次区,山西省,75
140703,0.00485931124008299,197,Shanxi,太谷区,山西省,113
140721,0.00739055858578817,197,Shanxi,榆社县,山西省,67
140722,0.00799502133662956,197,Shanxi,左权县,山西省,63
140723,0.010958523597367,197,Shanxi,和顺县,山西省,26
140724,0.00889164618411287,197,Shanxi,昔阳县,山西省,52
140725,0.00871297957366762,197,Shanxi,寿阳县,山西省,56
140727,0.00690913628706103,197,Shanxi,祁县,山西省,72
140728,0.01297890559591,197,Shanxi,平遥县,山西省,12
140729,0.00871607830419374,197,Shanxi,灵石县,山西省,55
140781,0.00920412074617001,197,Shanxi,介休市,山西省,44
140802,0.0128110819277018,197,Shanxi,盐湖区,山西省,13
140821,0.0123083880504714,197,Shanxi,临猗县,山西省,16
140822,0.0131916902451746,197,Shanxi,万荣县,山西省,8
140823,0.00802439119086462,197,Shanxi,闻喜县,山西省,62
140824,0.00641291114222661,197,Shanxi,稷山县,山西省,82
140825,0.00677443033820897,197,Shanxi,新绛县,山西省,78
140826,0.00679308523341196,197,Shanxi,绛县,山西省,76
140827,0.0142250332786822,197,Shanxi,垣曲县,山西省,4
140828,0.0110982081241161,197,Shanxi,夏县,山西省,25
140829,0.0114707292423383,197,Shanxi,平陆县,山西省,24
140830,0.0131352314246787,197,Shanxi,芮城县,山西省,11
140881,0.012081308206689,197,Shanxi,永济市,山西省,17
140882,0.00674173432660062,197,Shanxi,河津市,山西省,80
140902,0.00910265736896907,197,Shanxi,忻府区,山西省,48
140921,0.00921861473161195,197,Shanxi,定襄县,山西省,43
140922,0.0101692598469393,197,Shanxi,五台县,山西省,34
140923,0.0093275948954356,197,Shanxi,代县,山西省,40
140924,0.0076269071704309,197,Shanxi,繁峙县,山西省,65
140925,0.0131794716892459,197,Shanxi,宁武县,山西省,10
140926,0.00463247154153354,197,Shanxi,静乐县,山西省,116
140927,0.00678785437929798,197,Shanxi,神池县,山西省,77
140928,0.00828072831972116,197,Shanxi,五寨县,山西省,59
