grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
245,Yunnan,0.30967283845733,0.72506906979655,14.4742065914094,15.1992756612059
246,Yunnan,0.30440269895536,0.712801877509483,14.2861114002409,14.9989132777504
247,Yunnan,0.30440269895536,0.712801877509483,14.2861114002409,14.9989132777504
248,Guizhou,0.302316620101727,0.725690050154737,15.8837305137089,16.6094205638637
249,Guizhou,0.137066292825581,0.270410562236197,16.1611114305163,16.4315219927525
250,Guizhou,0.13245498024166,0.282004839309419,18.577778070692,18.8597829100015
251,Guizhou,0.129622301617682,0.272135990417937,18.2412701428883,18.5134061333062
252,Guangxi,0.12717392578636,0.259178752073183,19.3361114112158,19.5952901632889
253,Guangxi,0.134859492708623,0.27662188485214,18.0563494686096,18.3329713534618
254,Guangxi,0.132597709832926,0.234247752351543,17.4186510982968,17.6528988506483
255,Guangxi,0.223836187840973,0.558747392839358,18.4369050737411,18.9956524665805
256,Guangxi,0.230577505571988,0.518322967512187,17.1642859928192,17.6826089603314
257,Guangxi,0.242610901502543,0.542546614438933,18.6023812483227,19.1449278627617
258,Guangxi,0.224483993789528,0.559454853819354,18.1412701228308,18.7007249766502
259,Guangxi,0.26376810139818,0.586611431166581,19.2039685495316,19.7905799806982
260,Guangxi,0.237417655081199,0.456021411818746,19.1182542925789,19.5742757043977
261,Hunan,0.243796660861373,0.46285365383077,18.3813495125089,18.8442031663397
262,Hunan,0.256181371751247,0.543512753406997,17.7496034550288,18.2931162084358
263,Guangdong,0.25879446979568,0.501363039592622,18.6134923431608,19.1148553827535
264,Guangdong,0.250966184538185,0.511818511474541,17.8515875869327,18.3634060984073
265,Guangdong,0.256192359999705,0.522394753555503,18.7257939614947,19.2481887150502
266,Guangdong,0.258388214274672,0.509730812843458,19.988095576801,20.4978263896445
267,Jiangxi,0.287571360523573,0.599137316908486,19.184920982709,19.7840582996175
268,Jiangxi,0.231422903614186,0.458747384793352,19.3619051225602,19.8206525073535
269,Guangdong,0.294038199205695,0.586128352838522,19.6095241251446,20.1956524779831
270,Guangdong,0.305314028373035,0.610921400674386,19.6202383779344,20.2311597786088
271,Guangdong,0.258300400220043,0.503053819664274,20.1607146376655,20.6637684573298
272,Fujian,0.292270542028759,0.621307845523724,19.442460646705,20.0637684922287
273,Fujian,0.219993420216825,0.436438972823282,19.6642860041724,20.1007249769957
274,Fujian,0.276273607003569,0.571463087824316,21.1781749271211,21.7496380149454
275,Yunnan,0.275021951346215,0.696687345425779,15.5547622101648,16.2514495555905
276,Yunnan,0.288899896016077,0.735973172224,14.773809743306,15.50978291553
277,Yunnan,0.293478260555444,0.744720507359165,15.7357145945231,16.4804351018823
278,Yunnan,0.27338603399383,0.681090425095777,14.9507939493845,15.6318843744803
279,Yunnan,0.298693457925116,0.716839201208474,15.3730161587397,16.0898553599482
280,Yunnan,0.300867364602388,0.716804685059547,15.0150796856199,15.7318843706794
281,Yunnan,0.307971022345802,0.722895111356458,18.6908733390626,19.4137684504191
282,Yunnan,0.272606497696736,0.683229819670309,14.5511907925681,15.2344206122385
283,Yunnan,0.272606497696736,0.683229819670309,14.5511907925681,15.2344206122385
284,Yunnan,0.308399208344856,0.754313312290948,13.7753970755471,14.5297103878381
285,Yunnan,0.29983530491656,0.740562466854385,13.5460320086706,14.286594475525
286,Yunnan,0.309211708916138,0.753571493778665,14.404762120474,15.1583336142526
287,Guizhou,0.29959376854597,0.724568674735485,13.5424605484993,14.2670292232348
288,Guizhou,0.141897213108245,0.278588631343975,14.2753970982536,14.5539857295976
289,Guizhou,0.147200293534672,0.293512828272732,16.2996034205906,16.5931162488633
290,Guizhou,0.148858147333419,0.297877861599503,17.4702383620398,17.7681162236393
291,Guizhou,0.147299080655194,0.293340255837347,16.5265875506023,16.8199278064396
292,Guizhou,0.138987692500814,0.291131772116351,16.6353177513395,16.9264495234559
293,Guizhou,0.137856822554143,0.285610729698647,16.4738098345106,16.7594205642092
