prov_cn,prov_km2,pa_km2,year,frac_pa
120000,11392.3898513189,408.287673193777,2009,0.0358386325013719
630000,695938.6544018,68541.491002119,2009,0.0984878344787938
610000,204998.319067571,11397.9098850304,2009,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2009,0.0779021035004299
500000,82385.4969649095,2488.74444198471,2009,0.0302085261808245
130000,186599.667718384,2663.93404864367,2009,0.014276199315982
310000,6182.81738595144,0,2009,0
110000,16197.1667597319,298.752132928851,2009,0.0184447155086151
710000,40903.8534422188,0,2009,0
810000,1288.62501088332,0,2009,0
510000,485131.529377545,51906.1113499161,2009,0.106993893834348
620000,421123.651133805,79999.6821001489,2009,0.189967202945651
820000,60.7617837309977,0,2009,0
230000,451084.570674823,23892.2186000048,2010,0.0529661623412701
650000,1627343.61964449,184031.921019977,2010,0.113087315302333
140000,155942.383568924,1431.00698769405,2010,0.00917651093271617
640000,51198.1261574061,6558.379734887,2010,0.1280980423917
540000,1198514.53429661,378786.405118118,2010,0.31604656787948
370000,155045.020700642,1937.30461577103,2010,0.0124951101752022
410000,163635.184918568,7965.88632088108,2010,0.0486807670663571
320000,100834.150894034,2540.41996704321,2010,0.0251940433327287
340000,141224.668324945,10125.6443005825,2010,0.071698835767731
420000,186164.909824594,4229.95270147741,2010,0.0227215360051628
330000,100488.309790717,848.044387789471,2010,0.00843923427068939
360000,169215.433114737,3230.73536600534,2010,0.0190924391855838
430000,211565.974059089,8099.50313833832,2010,0.0382835811588312
530000,385468.898026504,14577.8899253588,2010,0.0378185892558222
520000,175616.831238234,3169.60807956554,2010,0.0180484299666345
350000,122346.250901022,2534.10798132153,2010,0.0207125920300706
450000,266663.798498258,5816.55505587687,2010,0.0218123160647727
440000,202775.329391037,1970.78490887841,2010,0.00971905662684391
460000,43080.9900364887,1368.55228206154,2010,0.0317669645219946
220000,191587.081583656,12072.3271582547,2010,0.0630122190831711
210000,145287.062854837,3078.02501178266,2010,0.021185816213093
120000,11392.3898513189,408.287673193777,2010,0.0358386325013719
630000,695938.6544018,68541.491002119,2010,0.0984878344787938
610000,204998.319067571,11397.9098850304,2010,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2010,0.0779021035004299
500000,82385.4969649095,2488.74444198471,2010,0.0302085261808245
130000,186599.667718384,2663.93404864367,2010,0.014276199315982
310000,6182.81738595144,0,2010,0
110000,16197.1667597319,298.752132928851,2010,0.0184447155086151
710000,40903.8534422188,0,2010,0
810000,1288.62501088332,0,2010,0
510000,485131.529377545,51906.1113499161,2010,0.106993893834348
620000,421123.651133805,80027.9334789316,2010,0.190034288654816
820000,60.7617837309977,0,2010,0
230000,451084.570674823,24474.5031354124,2011,0.0542570168134958
650000,1627343.61964449,184031.921019977,2011,0.113087315302333
140000,155942.383568924,1431.00698769405,2011,0.00917651093271617
640000,51198.1261574061,6558.379734887,2011,0.1280980423917
540000,1198514.53429661,378786.405118118,2011,0.31604656787948
370000,155045.020700642,1937.30461577102,2011,0.0124951101752022
410000,163635.184918568,7965.88632088107,2011,0.0486807670663571
320000,100834.150894034,2540.41996704321,2011,0.0251940433327287
340000,141224.668324945,10125.6443005825,2011,0.0716988357677311
420000,186164.909824594,4229.9527014774,2011,0.0227215360051628
330000,100488.309790717,848.044387789473,2011,0.0084392342706894
360000,169215.433114737,3230.73536600534,2011,0.0190924391855838
430000,211565.974059089,8099.50313833834,2011,0.0382835811588313
530000,385468.898026504,14577.8899253588,2011,0.0378185892558222
520000,175616.831238234,3169.60807956554,2011,0.0180484299666345
350000,122346.250901022,2534.10798132153,2011,0.0207125920300707
450000,266663.798498258,5816.55505587687,2011,0.0218123160647727
440000,202775.329391037,1970.78490887842,2011,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2011,0.0317669645219946
220000,191587.081583656,12125.2595576806,2011,0.0632885028439985
210000,145287.062854837,3078.02501178267,2011,0.021185816213093
120000,11392.3898513189,408.287673193777,2011,0.0358386325013719
630000,695938.6544018,68541.491002119,2011,0.0984878344787938
610000,204998.319067571,11397.9098850304,2011,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2011,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2011,0.0303759305541735
130000,186599.667718384,2663.93404864367,2011,0.014276199315982
310000,6182.81738595144,0,2011,0
110000,16197.1667597319,298.752132928851,2011,0.0184447155086151
710000,40903.8534422188,0,2011,0
810000,1288.62501088332,0,2011,0
510000,485131.529377545,51906.1113499161,2011,0.106993893834348
620000,421123.651133805,80027.9334789316,2011,0.190034288654816
820000,60.7617837309977,0,2011,0
230000,451084.570674823,24474.5031354124,2012,0.0542570168134958
650000,1627343.61964449,184031.921019977,2012,0.113087315302333
140000,155942.383568924,1431.00698769405,2012,0.00917651093271617
640000,51198.1261574061,6558.379734887,2012,0.1280980423917
540000,1198514.53429661,378786.405118118,2012,0.31604656787948
370000,155045.020700642,1937.30461577102,2012,0.0124951101752022
410000,163635.184918568,7965.88632088107,2012,0.0486807670663571
320000,100834.150894034,2540.41996704321,2012,0.0251940433327287
340000,141224.668324945,10125.6443005825,2012,0.071698835767731
420000,186164.909824594,4229.9527014774,2012,0.0227215360051628
330000,100488.309790717,848.044387789473,2012,0.0084392342706894
360000,169215.433114737,3230.73536600535,2012,0.0190924391855838
430000,211565.974059089,8099.50313833832,2012,0.0382835811588312
530000,385468.898026504,14577.8899253588,2012,0.0378185892558222
520000,175616.831238234,3169.60807956554,2012,0.0180484299666345
350000,122346.250901022,2534.10798132153,2012,0.0207125920300706
450000,266663.798498258,5816.55505587687,2012,0.0218123160647727
440000,202775.329391037,1970.78490887842,2012,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2012,0.0317669645219946
220000,191587.081583656,12125.2595576806,2012,0.0632885028439984
210000,145287.062854837,3078.02501178267,2012,0.021185816213093
120000,11392.3898513189,408.287673193777,2012,0.0358386325013719
630000,695938.6544018,68541.491002119,2012,0.0984878344787938
610000,204998.319067571,11397.9098850304,2012,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2012,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2012,0.0303759305541735
130000,186599.667718384,2674.07183167452,2012,0.0143305283678759
310000,6182.81738595144,0,2012,0
110000,16197.1667597319,298.752132928851,2012,0.0184447155086151
710000,40903.8534422188,0,2012,0
810000,1288.62501088332,0,2012,0
510000,485131.529377545,51906.1113499161,2012,0.106993893834348
620000,421123.651133805,80027.9334789316,2012,0.190034288654816
820000,60.7617837309977,0,2012,0
230000,451084.570674823,24474.5031354124,2013,0.0542570168134958
650000,1627343.61964449,184031.921019977,2013,0.113087315302333
140000,155942.383568924,1431.00698769405,2013,0.00917651093271617
640000,51198.1261574061,6558.379734887,2013,0.1280980423917
540000,1198514.53429661,378786.405118118,2013,0.31604656787948
370000,155045.020700642,1937.30461577102,2013,0.0124951101752022
410000,163635.184918568,7965.88632088107,2013,0.0486807670663571
320000,100834.150894034,2540.41996704321,2013,0.0251940433327287
340000,141224.668324945,10125.6443005825,2013,0.071698835767731
420000,186164.909824594,4229.9527014774,2013,0.0227215360051628
330000,100488.309790717,848.044387789473,2013,0.0084392342706894
360000,169215.433114737,3230.73536600535,2013,0.0190924391855838
430000,211565.974059089,8099.50313833832,2013,0.0382835811588312
530000,385468.898026504,14577.8899253588,2013,0.0378185892558222
520000,175616.831238234,3169.60807956554,2013,0.0180484299666345
350000,122346.250901022,2534.10798132153,2013,0.0207125920300706
450000,266663.798498258,5816.55505587687,2013,0.0218123160647727
440000,202775.329391037,1970.78490887842,2013,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2013,0.0317669645219946
220000,191587.081583656,12125.2595576806,2013,0.0632885028439984
210000,145287.062854837,3078.02501178267,2013,0.021185816213093
120000,11392.3898513189,408.287673193777,2013,0.0358386325013719
630000,695938.6544018,68541.491002119,2013,0.0984878344787938
610000,204998.319067571,11397.9098850304,2013,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2013,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2013,0.0303759305541735
130000,186599.667718384,2674.07183167452,2013,0.0143305283678759
310000,6182.81738595144,0,2013,0
110000,16197.1667597319,298.752132928851,2013,0.0184447155086151
710000,40903.8534422188,0,2013,0
810000,1288.62501088332,0,2013,0
510000,485131.529377545,51906.1113499161,2013,0.106993893834348
620000,421123.651133805,80027.9334789316,2013,0.190034288654816
820000,60.7617837309977,0,2013,0
230000,451084.570674823,24474.5031354124,2014,0.0542570168134958
650000,1627343.61964449,184031.921019977,2014,0.113087315302333
140000,155942.383568924,1431.00698769405,2014,0.00917651093271617
640000,51198.1261574061,6558.379734887,2014,0.1280980423917
540000,1198514.53429661,378786.405118118,2014,0.31604656787948
370000,155045.020700642,1937.30461577102,2014,0.0124951101752022
410000,163635.184918568,7965.88632088107,2014,0.0486807670663571
320000,100834.150894034,2540.41996704321,2014,0.0251940433327287
340000,141224.668324945,10125.6443005825,2014,0.071698835767731
420000,186164.909824594,4229.9527014774,2014,0.0227215360051628
330000,100488.309790717,848.044387789473,2014,0.0084392342706894
360000,169215.433114737,3230.73536600535,2014,0.0190924391855838
430000,211565.974059089,8099.50313833832,2014,0.0382835811588312
530000,385468.898026504,14577.8899253588,2014,0.0378185892558222
520000,175616.831238234,3169.60807956554,2014,0.0180484299666345
350000,122346.250901022,2534.10798132153,2014,0.0207125920300706
450000,266663.798498258,5816.55505587687,2014,0.0218123160647727
440000,202775.329391037,1970.78490887842,2014,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2014,0.0317669645219946
220000,191587.081583656,12125.2595576806,2014,0.0632885028439984
210000,145287.062854837,3078.02501178267,2014,0.021185816213093
120000,11392.3898513189,408.287673193777,2014,0.0358386325013719
630000,695938.6544018,68541.491002119,2014,0.0984878344787938
610000,204998.319067571,11397.9098850304,2014,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2014,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2014,0.0303759305541735
130000,186599.667718384,2674.07183167452,2014,0.0143305283678759
310000,6182.81738595144,0,2014,0
110000,16197.1667597319,298.752132928851,2014,0.0184447155086151
710000,40903.8534422188,0,2014,0
810000,1288.62501088332,0,2014,0
510000,485131.529377545,51906.1113499161,2014,0.106993893834348
620000,421123.651133805,80027.9334789316,2014,0.190034288654816
820000,60.7617837309977,0,2014,0
230000,451084.570674823,24474.5031354124,2015,0.0542570168134958
650000,1627343.61964449,184031.921019977,2015,0.113087315302333
140000,155942.383568924,1431.00698769405,2015,0.00917651093271617
640000,51198.1261574061,6558.379734887,2015,0.1280980423917
540000,1198514.53429661,378786.405118118,2015,0.31604656787948
370000,155045.020700642,1937.30461577102,2015,0.0124951101752022
410000,163635.184918568,7965.88632088107,2015,0.0486807670663571
320000,100834.150894034,2540.41996704321,2015,0.0251940433327287
340000,141224.668324945,10125.6443005825,2015,0.071698835767731
420000,186164.909824594,4229.9527014774,2015,0.0227215360051628
330000,100488.309790717,848.044387789473,2015,0.0084392342706894
360000,169215.433114737,3230.73536600535,2015,0.0190924391855838
430000,211565.974059089,8099.50313833832,2015,0.0382835811588312
530000,385468.898026504,14577.8899253588,2015,0.0378185892558222
520000,175616.831238234,3169.60807956554,2015,0.0180484299666345
350000,122346.250901022,2534.10798132153,2015,0.0207125920300706
450000,266663.798498258,5816.55505587687,2015,0.0218123160647727
440000,202775.329391037,1970.78490887842,2015,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2015,0.0317669645219946
220000,191587.081583656,12125.2595576806,2015,0.0632885028439984
210000,145287.062854837,3078.02501178267,2015,0.021185816213093
120000,11392.3898513189,408.287673193777,2015,0.0358386325013719
630000,695938.6544018,68541.491002119,2015,0.0984878344787938
610000,204998.319067571,11397.9098850304,2015,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2015,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2015,0.0303759305541735
130000,186599.667718384,2674.07183167452,2015,0.0143305283678759
310000,6182.81738595144,0,2015,0
110000,16197.1667597319,298.752132928851,2015,0.0184447155086151
710000,40903.8534422188,0,2015,0
810000,1288.62501088332,0,2015,0
510000,485131.529377545,51906.1113499161,2015,0.106993893834348
620000,421123.651133805,80027.9334789316,2015,0.190034288654816
820000,60.7617837309977,0,2015,0
230000,451084.570674823,24474.5031354124,2016,0.0542570168134958
650000,1627343.61964449,184031.921019977,2016,0.113087315302333
140000,155942.383568924,1431.00698769405,2016,0.00917651093271617
640000,51198.1261574061,6558.379734887,2016,0.1280980423917
540000,1198514.53429661,378786.405118118,2016,0.31604656787948
370000,155045.020700642,1937.30461577102,2016,0.0124951101752022
410000,163635.184918568,7965.88632088107,2016,0.0486807670663571
320000,100834.150894034,2540.41996704321,2016,0.0251940433327287
340000,141224.668324945,10125.6443005825,2016,0.071698835767731
420000,186164.909824594,4229.9527014774,2016,0.0227215360051628
330000,100488.309790717,848.044387789473,2016,0.0084392342706894
360000,169215.433114737,3230.73536600535,2016,0.0190924391855838
430000,211565.974059089,8099.50313833832,2016,0.0382835811588312
530000,385468.898026504,14577.8899253588,2016,0.0378185892558222
520000,175616.831238234,3169.60807956554,2016,0.0180484299666345
350000,122346.250901022,2534.10798132153,2016,0.0207125920300706
450000,266663.798498258,5816.55505587687,2016,0.0218123160647727
440000,202775.329391037,1970.78490887842,2016,0.00971905662684393
460000,43080.9900364887,1368.55228206154,2016,0.0317669645219946
220000,191587.081583656,12125.2595576806,2016,0.0632885028439984
210000,145287.062854837,3078.02501178267,2016,0.021185816213093
120000,11392.3898513189,408.287673193777,2016,0.0358386325013719
630000,695938.6544018,68541.491002119,2016,0.0984878344787938
610000,204998.319067571,11397.9098850304,2016,0.0556000163165899
150000,1142761.87223905,89023.5536475114,2016,0.0779021035004299
500000,82385.4969649095,2502.53613447717,2016,0.0303759305541735
130000,186599.667718384,2674.07183167452,2016,0.0143305283678759
310000,6182.81738595144,0,2016,0
110000,16197.1667597319,298.752132928851,2016,0.0184447155086151
710000,40903.8534422188,0,2016,0
810000,1288.62501088332,0,2016,0
510000,485131.529377545,51906.1113499161,2016,0.106993893834348
620000,421123.651133805,80027.9334789316,2016,0.190034288654816
820000,60.7617837309977,0,2016,0
230000,451084.570674823,24474.5031354124,2017,0.0542570168134958
650000,1627343.61964449,184031.921019977,2017,0.113087315302333
140000,155942.383568924,1431.00698769405,2017,0.00917651093271617
640000,51198.1261574061,6558.379734887,2017,0.1280980423917
540000,1198514.53429661,378786.405118118,2017,0.31604656787948
370000,155045.020700642,1937.30461577102,2017,0.0124951101752022
410000,163635.184918568,7965.88632088107,2017,0.0486807670663571
320000,100834.150894034,2540.41996704321,2017,0.0251940433327287
340000,141224.668324945,10125.6443005825,2017,0.071698835767731
420000,186164.909824594,4229.9527014774,2017,0.0227215360051628
330000,100488.309790717,848.044387789473,2017,0.0084392342706894
360000,169215.433114737,3230.73536600535,2017,0.0190924391855838
430000,211565.974059089,8099.50313833832,2017,0.0382835811588312
530000,385468.898026504,14577.8899253588,2017,0.0378185892558222
520000,175616.831238234,3169.60807956554,2017,0.0180484299666345
350000,122346.250901022,2534.10798132153,2017,0.0207125920300706
450000,266663.798498258,5816.55505587687,2017,0.0218123160647727
440000,202775.329391037,1970.78490887842,2017,0.00971905662684393
